Property ID In AVL Packet,Property Name,Bytes,Type,Min value,Max value,Multiplier,Units,Description,Parameter Group
26,BLE Temperature #2,2,Signed,−4000,12500,0.01*,°C,"""Degrees ( °C ), -40 - +125; Error codes: 4000 - abnormal sensor state 3000 - sensor not found 2000 - failed sensor data parsing From firmware version 03.28.00 and up: 32767 - sensor not found 32766 - failed sensor data parsing 32765 - abnormal sensor state""",Bluetooth Low Energy
27,BLE Temperature #3,2,Signed,−4000,12500,0.01*,°C,"""Degrees ( °C ), -40 - +125; Error codes: 4000 - abnormal sensor state 3000 - sensor not found 2000 - failed sensor data parsing From firmware version 03.28.00 and up: 32767 - sensor not found 32766 - failed sensor data parsing 32765 - abnormal sensor state""",Bluetooth Low Energy
28,BLE Temperature #4,2,Signed,−4000,12500,0.01*,°C,"""Degrees ( °C ), -40 - +125; Error codes: 4000 - abnormal sensor state 3000 - sensor not found 2000 - failed sensor data parsing From firmware version 03.28.00 and up: 32767 - sensor not found 32766 - failed sensor data parsing 32765 - abnormal sensor state""",Bluetooth Low Energy
29,BLE Battery #1,1,Unsigned,0,100,-,%,"""Battery level of sensor #1""",Bluetooth Low Energy
20,BLE Battery #2,1,Unsigned,0,100,-,%,"""Battery level of sensor #2""",Bluetooth Low Energy
22,BLE Battery #3,1,Unsigned,0,100,-,%,"""Battery level of sensor #3""",Bluetooth Low Energy
23,BLE Battery #4,1,Unsigned,0,100,-,%,"""Battery level of sensor #4""",Bluetooth Low Energy
86,BLE Humidity #1,2,Unsigned,0,1000,0.1*,%RH,"""Humidity From firmware version 03.28.00 and up: 32735 - sensor not found 32734 - failed sensor data parsing 32733 - abnormal sensor state""",Bluetooth Low Energy
104,BLE Humidity #2,2,Unsigned,0,1000,0.1*,%RH,"""Humidity From firmware version 03.28.00 and up: 32735 - sensor not found 32734 - failed sensor data parsing 32733 - abnormal sensor state""",Bluetooth Low Energy
106,BLE Humidity #3,2,Unsigned,0,1000,0.1*,%RH,"""Humidity From firmware version 03.28.00 and up: 32735 - sensor not found 32734 - failed sensor data parsing 32733 - abnormal sensor state""",Bluetooth Low Energy
108,BLE Humidity #4,2,Unsigned,0,1000,0.1*,%RH,"""Humidity From firmware version 03.28.00 and up: 32735 - sensor not found 32734 - failed sensor data parsing 32733 - abnormal sensor state""",Bluetooth Low Energy
270,BLE Fuel Level #1,2,Unsigned,0,65535,-,-,"""Fuel Level""",Bluetooth Low Energy
273,BLE Fuel Level #2,2,Unsigned,0,65535,-,-,"""Fuel Level""",Bluetooth Low Energy
276,BLE Fuel Level #3,2,Unsigned,0,65535,-,-,"""Fuel Level""",Bluetooth Low Energy
279,BLE Fuel Level #4,2,Unsigned,0,65535,-,-,"""Fuel Level""",Bluetooth Low Energy
306,BLE Fuel Frequency #1,4,Unsigned,0,2147483647,-,-,"""Frequency value of BLE fuel sensor #1""",Bluetooth Low Energy
307,BLE Fuel Frequency #2,4,Unsigned,0,2147483647,-,-,"""Frequency value of BLE fuel sensor #2""",Bluetooth Low Energy
308,BLE Fuel Frequency #3,4,Unsigned,0,2147483647,-,-,"""Frequency value of BLE fuel sensor #3""",Bluetooth Low Energy
309,BLE Fuel Frequency #4,4,Unsigned,0,2147483647,-,-,"""Frequency value of BLE fuel sensor #4""",Bluetooth Low Energy
335,BLE Luminosity #1,2,Unsigned,0,0xFFFF,-,lx,"""Luminosity value of BLE sensor""",Bluetooth Low Energy
336,BLE Luminosity #2,2,Unsigned,0,0xFFFF,-,lx,"""Luminosity value of BLE sensor""",Bluetooth Low Energy
337,BLE Luminosity #3,2,Unsigned,0,0xFFFF,-,lx,"""Luminosity value of BLE sensor""",Bluetooth Low Energy
338,BLE Luminosity #4,2,Unsigned,0,0xFFFF,-,lx,"""Luminosity value of BLE sensor""",Bluetooth Low Energy
331,BLE 1 Custom #1,Variable,HEX,0,-,-,-,"""Custom IO element for BLE sensor""",Bluetooth Low Energy
463,BLE 1 Custom #2,4,UNSIGNED LONG INT,0,4294967295,-,-,"""Custom IO element for BLE sensor""",Bluetooth Low Energy
464,BLE 1 Custom #3,4,UNSIGNED LONG INT,0,4294967295,-,-,"""Custom IO element for BLE sensor""",Bluetooth Low Energy
465,BLE 1 Custom #4,4,UNSIGNED LONG INT,0,4294967295,-,-,"""Custom IO element for BLE sensor""",Bluetooth Low Energy
466,BLE 1 Custom #5,4,UNSIGNED LONG INT,0,4294967295,-,-,"""Custom IO element for BLE sensor""",Bluetooth Low Energy
332,BLE 2 Custom #1,Variable,HEX,0,-,-,-,"""Custom IO element for BLE sensor""",Bluetooth Low Energy
467,BLE 2 Custom #2,4,UNSIGNED LONG INT,0,4294967295,-,-,"""Custom IO element for BLE sensor""",Bluetooth Low Energy
468,BLE 2 Custom #3,4,UNSIGNED LONG INT,0,4294967295,-,-,"""Custom IO element for BLE sensor""",Bluetooth Low Energy
469,BLE 2 Custom #4,4,UNSIGNED LONG INT,0,4294967295,-,-,"""Custom IO element for BLE sensor""",Bluetooth Low Energy
470,BLE 2 Custom #5,4,UNSIGNED LONG INT,0,4294967295,-,-,"""Custom IO element for BLE sensor""",Bluetooth Low Energy
333,BLE 3 Custom #1,Variable,HEX,0,-,-,-,"""Custom IO element for BLE sensor""",Bluetooth Low Energy
471,BLE 3 Custom #2,4,UNSIGNED LONG INT,0,4294967295,-,-,"""Custom IO element for BLE sensor""",Bluetooth Low Energy
472,BLE 3 Custom #3,4,UNSIGNED LONG INT,0,4294967295,-,-,"""Custom IO element for BLE sensor""",Bluetooth Low Energy
473,BLE 3 Custom #4,4,UNSIGNED LONG INT,0,4294967295,-,-,"""Custom IO element for BLE sensor""",Bluetooth Low Energy
474,BLE 3 Custom #5,4,UNSIGNED LONG INT,0,4294967295,-,-,"""Custom IO element for BLE sensor""",Bluetooth Low Energy
334,BLE 4 Custom #1,Variable,HEX,0,-,-,-,"""Custom IO element for BLE sensor""",Bluetooth Low Energy
475,BLE 4 Custom #2,4,UNSIGNED LONG INT,0,4294967295,-,-,"""Custom IO element for BLE sensor""",Bluetooth Low Energy
476,BLE 4 Custom #3,4,UNSIGNED LONG INT,0,4294967295,-,-,"""Custom IO element for BLE sensor""",Bluetooth Low Energy
477,BLE 4 Custom #4,4,UNSIGNED LONG INT,0,4294967295,-,-,"""Custom IO element for BLE sensor""",Bluetooth Low Energy
478,BLE 4 Custom #5,4,UNSIGNED LONG INT,0,4294967295,-,-,"""Custom IO element for BLE sensor""",Bluetooth Low Energy
81,Vehicle Speed,1,Unsigned,0,255,-,km/h,"""Vehicle Speed""","LVCAN200, ALLCAN300, CANCONTROL"
82,Accelerator Pedal Position,1,Unsigned,0,102,-,%,"""Value in percentages""","LVCAN200, ALLCAN300, CANCONTROL"
83,Fuel Consumed,4,Unsigned,0,2147483647,0.1,l,"""Value in liters""","LVCAN200, ALLCAN300, CANCONTROL"
84,Fuel Level,2,Unsigned,0,65535,0.1,l,"""Value in liters""","LVCAN200, ALLCAN300, CANCONTROL"
85,Engine RPM,2,Unsigned,0,16384,-,rpm,"""Value in rounds per minute""","LVCAN200, ALLCAN300, CANCONTROL"
87,Total Mileage,4,Unsigned,0,4294967295,-,m,"""Value in meters""","LVCAN200, ALLCAN300, CANCONTROL"
89,Fuel level,1,Unsigned,0,100,-,%,"""Value in percentages""","LVCAN200, ALLCAN300, CANCONTROL"
90,Door Status,2,Unsigned,0,16128,-,-,"""Door status value: Min : 0, Max : 16128 Door status is represented as bitmask converted to decimal value. Possible values: 0 : all doors closed 0x100 (256) : front left door is opened 0x200 (512) : front right door is opened 0x400 (1024) : rear left door is opened 0x800 (2048) : rear right door is opened 0x1000 (4096) : hood is opened 0x2000 (8192) : trunk is opened 0x3F00 (16128) : all doors are opened or combinations of values""","LVCAN200, ALLCAN300, CANCONTROL"
100,Program Number,4,Unsigned,0,99999,-,-,"""Value: Min : 0, Max : 99999""","LVCAN200, ALLCAN300, CANCONTROL"
101,Module ID 8B,8,Unsigned,0,0xFFFFFFFFFFFFFFFF,-,-,"""Module ID 8 Bytes""","LVCAN200, ALLCAN300, CANCONTROL"
388,Module ID 17B,17,HEX,0,0x7FFFFFFFFFFFFFFF,-,-,"""Module ID 17 Bytes""","LVCAN200, ALLCAN300, CANCONTROL"
102,Engine Worktime,4,Unsigned,0,1677215,-,min,"""Engine work time""","ALLCAN300, CANCONTROL"
103,Engine Worktime (counted),4,Unsigned,0,1677215,-,min,"""Total engine work time""","ALLCAN300, CANCONTROL"
105,Total Mileage (counted),4,Unsigned,0,4294967295,-,m,"""Total Vehicle Mileage""","LVCAN200, ALLCAN300, CANCONTROL"
107,Fuel Consumed (counted),4,Unsigned,0,2147483647,0.1,l,"""Total Fuel Consumed""","LVCAN200, ALLCAN300, CANCONTROL"
110,Fuel Rate,2,Unsigned,0,32768,0.1,l/h,"""Fuel rate""",ALLCAN300
111,AdBlue Level,1,Unsigned,0,100,-,%,"""AdBlue""",ALLCAN300
112,AdBlue Level,2,Unsigned,0,65535,0.1,l,"""AdBlue level""",ALLCAN300
114,Engine Load,1,Unsigned,0,130,-,%,"""Engine Load""",ALLCAN300
115,Engine Temperature,2,Signed,−600,1270,0.1,°C,"""Engine Temperature""","LVCAN200, ALLCAN300, CANCONTROL"
118,Axle 1 Load,2,Unsigned,0,32768,-,kg,"""Axle 1 load""",ALLCAN300
119,Axle 2 Load,2,Unsigned,0,32768,-,kg,"""Axle 2 load""",ALLCAN300
120,Axle 3 Load,2,Unsigned,0,32768,-,kg,"""Axle 3 load""",ALLCAN300
121,Axle 4 Load,2,Unsigned,0,32768,-,kg,"""Axle 4 load""",ALLCAN300
122,Axle 5 Load,2,Unsigned,0,32768,-,kg,"""Axle 5 load""",ALLCAN300
123,Control State Flags,4,Unsigned,0,4294967295,-,-,"""Control state flags""","ALLCAN300, CANCONTROL"
124,Agricultural Machinery Flags,8,Unsigned,0,0xFFFFFFFFFFFFFFFF,-,-,"""Agricultural machinery flags""",ALLCAN300
125,Harvesting Time,4,Unsigned,0,16777215,-,min,"""Harvesting time""",ALLCAN300
126,Area of Harvest,4,Unsigned,0,4294967295,-,m2,"""Area of harvest in square meters""",ALLCAN300
127,Mowing Efficiency,4,Unsigned,0,4294967295,-,m2/h,"""Mowing efficiency""",ALLCAN300
128,Grain Mown Volume,4,Unsigned,0,4294967295,-,kg,"""Mown volume""",ALLCAN300
129,Grain Moisture,2,Unsigned,0,100,-,%,"""Grain moisture""",ALLCAN300
130,Harvesting Drum RPM,2,Unsigned,0,65535,-,rpm,"""Harvesting drum rpm""",ALLCAN300
131,Gap Under Harvesting Drum,1,Unsigned,0,255,-,mm,"""Gap under harvesting drum""",ALLCAN300
132,Security State Flags,8,Unsigned,0,0xFFFFFFFFFFFFFFFF,-,-,"""Security state flags""","ALLCAN300, CANCONTROL"
133,Tachograph Total Vehicle Distance,4,Unsigned,0,4294967295,-,m,"""Tacho Total Vehicle Distance""",ALLCAN300
134,Trip Distance,4,Unsigned,0,4294967295,-,m,"""Trip distance""",ALLCAN300
135,Tachograph Vehicle Speed,2,Unsigned,0,255,-,km/h,"""Tacho vehicle speed""",ALLCAN300
136,Tacho Driver Card Presence,1,Unsigned,0,3,-,-,"""Tacho Driver Card Presence""",ALLCAN300
137,Driver 1 States,1,Unsigned,0,255,-,-,"""Driver 1 States""",ALLCAN300
138,Driver 2 States,1,Unsigned,0,255,-,-,"""Driver 2 States""",ALLCAN300
139,Driver 1 Continuous Driving Time,2,Unsigned,0,65535,-,min.,"""Driver 1 Continuous Driving Time, minutes""",ALLCAN300
140,Driver 2 Continuous Driving Time,2,Unsigned,0,65535,-,min.,"""Driver 2 Continuous Driving Time, minutes""",ALLCAN300
141,Driver 1 Cumulative Break Time,2,Unsigned,0,65535,-,min.,"""Driver 1 Cumulative Break Time, minutes""",ALLCAN300
142,Driver 2 Cumulative Break Time,2,Unsigned,0,65535,-,min.,"""Driver 2 Cumulative Break Time, minutes""",ALLCAN300
143,Driver 1 Selected Activity Duration,2,Unsigned,0,65535,-,min.,"""Driver 1 Duration Of Selected Activity, minutes""",ALLCAN300
144,Driver 2 Selected Activity Duration,2,Unsigned,0,65535,-,min.,"""Driver 2 Duration Of Selected Activity, minutes""",ALLCAN300
145,Driver 1 Cumulative Driving Time,2,Unsigned,0,65535,-,min.,"""Driver 1 Cumulative Driving Time, minutes""",ALLCAN300
146,Driver 2 Cumulative Driving Time,2,Unsigned,0,65535,-,min.,"""Driver 2 Cumulative Driving Time, minutes""",ALLCAN300
147,Driver 1 ID High,8,Unsigned,0,0xFFFFFFFFFFFFFFFF,-,-,"""Driver 1 ID High""",ALLCAN300
148,Driver 1 ID Low,8,Unsigned,0,0xFFFFFFFFFFFFFFFF,-,-,"""Driver 1 ID Low""",ALLCAN300
149,Driver 2 ID High,8,Unsigned,0,0xFFFFFFFFFFFFFFFF,-,-,"""Driver 2 ID High""",ALLCAN300
150,Driver 2 ID Low,8,Unsigned,0,0xFFFFFFFFFFFFFFFF,-,-,"""Driver 2 ID Low""",ALLCAN300
151,Battery Temperature,2,Signed,−600,1270,0.1,°C,"""Battery temperature in Celsius""",ALLCAN300
152,HV Battery Level,1,Unsigned,0,100,-,%,"""Battery level in percent""","ALLCAN300, CANCONTROL"
160,DTC Faults,1,Unsigned,0,255,-,-,"""DTC faults Count""","ALLCAN300, CANCONTROL"
161,Slope of Arm,2,Signed,−3276,3276,-,Degrees °,"""Slope Of Arm""",ALLCAN300
162,Rotation of Arm,2,Signed,−180,180,-,Degrees °,"""Rotation Of Arm""",ALLCAN300
163,Eject of Arm,2,Unsigned,0,6553,-,m,"""Eject of arm""",ALLCAN300
164,Horizontal Distance Arm Vehicle,2,Unsigned,0,6553,-,m,"""Horizontal Distance Arm Vehicle""",ALLCAN300
165,Height Arm Above Ground,2,Unsigned,0,6553,-,m,"""Height Arm Above Ground""",ALLCAN300
166,Drill RPM,2,Unsigned,0,65535,-,rpm,"""Drill RPM""",ALLCAN300
167,Amount Of Spread Salt Square Meter,2,Unsigned,0,655,-,g/m2,"""Amount Of Spread Salt Square Meter""",ALLCAN300
168,Battery Voltage,2,Unsigned,0,6553,-,V,"""Battery Voltage""",ALLCAN300
169,Amount Of Spread Fine Grained Salt,4,Unsigned,0,1677722,-,T,"""Amount Of Spread Fine Grained Salt""",ALLCAN300
170,Amount Of Coarse Grained Salt,4,Unsigned,0,1677722,-,T,"""Amount Of Coarse Grained Salt""",ALLCAN300
171,Amount Of Spread DiMix,4,Unsigned,0,1677722,-,T,"""Amount Of Spread DiMix""",ALLCAN300
172,Amount Of Spread Coarse Grained Calcium,4,Unsigned,0,1677722,-,m3,"""Amount Of Spread Coarse Grained Calcium""",ALLCAN300
173,Amount Of Spread Calcium Chloride,4,Unsigned,0,1677722,-,m3,"""Amount Of Spread Calcium Chloride""",ALLCAN300
174,Amount Of Spread Sodium Chloride,4,Unsigned,0,1677722,-,m3,"""Amount Of Spread Sodium Chloride""",ALLCAN300
176,Amount Of Spread Magnesium Chloride,4,Unsigned,0,1677722,-,m3,"""Amount Of Spread Magnesium Chloride""",ALLCAN300
177,Amount Of Spread Gravel,4,Unsigned,0,1677722,-,T,"""Amount Of Spread Gravel""",ALLCAN300
178,Amount Of Spread Sand,4,Unsigned,0,1677722,-,T,"""Amount Of Spread Sand""",ALLCAN300
183,Width Pouring Left,2,Unsigned,0,655,-,m,"""Width Pouring Left""",ALLCAN300
184,Width Pouring Right,2,Unsigned,0,655,-,m,"""Width Pouring Right""",ALLCAN300
185,Salt Spreader Working Hours,4,Unsigned,0,167722,-,h,"""Salt Spreader Working Hours""",ALLCAN300
186,Distance During Salting,4,Unsigned,0,167722,-,km,"""Distance During Salting""",ALLCAN300
187,Load Weight,4,Unsigned,0,16772215,-,kg,"""Load Weight""",ALLCAN300
188,Retarder Load,1,Unsigned,0,130,-,%,"""Retarded Load in percent""",ALLCAN300
189,Cruise Time,4,Unsigned,0,16772215,-,min,"""Cruise time in minutes""",ALLCAN300
232,CNG Status,1,Unsigned,0,1,-,-,"""CNG Status""","LVCAN200, CANCONTROL"
233,CNG Used,4,Unsigned,0,16772215,-,kg,"""CNG used""","LVCAN200, CANCONTROL"
234,CNG Level,1,Unsigned,0,100,-,%,"""CNG Level""","LVCAN200, CANCONTROL"
235,Oil Level,1,Unsigned,0,1,-,-,"""Engine Oil Level""","ALLCAN300, CANCONTROL"
304,Vehicles Range On Battery,4,Unsigned,0,16777215,-,m,"""Vehicle Range on Battery""","ALLCAN300, CANCONTROL"
305,Vehicles Range On Additional Fuel,4,Unsigned,0,16777215,-,m,"""Vehicle Range On Additional Fuel""","ALLCAN300, CANCONTROL"
325,VIN,17,ASCII,0,0xFF,-,-,"""VIN number""",CANCONTROL
282,Fault Codes,Variable,-,0,128,-,-,"""DTC Fault codes""",LV-CAN200 + DTC
517,Security State Flags P4,8,HEX,0,0xffffffffffffffff,-,-,"""Security state flags protocol 4, more information click here Flags""",ALLCAN300
518,Control State Flags P4,8,HEX,0,0xffffffffffffffff,-,-,"""Control state flags protocol 4, more information click here Flags""",ALLCAN300
519,Indicator State Flags P4,8,HEX,0,0xffffffffffffffff,-,-,"""Indicator state flags protocol 4, more information click here Flags""",ALLCAN300
520,Agricultural State Flags P4,8,HEX,0,0xffffffffffffffff,-,-,"""Agricultural state flags protocol 4, more information click here Flags""",ALLCAN300
521,Utility State Flags P4,8,HEX,0,0xffffffffffffffff,-,-,"""Utility state flags protocol 4, more information click here Flags""",ALLCAN300
522,Cistern State Flags P4,8,HEX,0,0xffffffffffffffff,-,-,"""Cistern state flags protocol 4, more information click here Flags""",ALLCAN300
855,LNG Used,4,Unsigned,0,214748364,-,kg,"""Total LNG used in kilograms""","ALLCAN300, CANCONTROL"
856,LNG Used (counted),4,Unsigned,0,214748364,-,kg,"""Total LNG used counted in kg""","ALLCAN300, CANCONTROL"
857,LNG Level,2,Unsigned,0,100,-,%,"""LNG level in proc""","ALLCAN300, CANCONTROL"
858,LNG Level,2,Unsigned,0,6553,-,kg,"""LNG level in kg""","ALLCAN300, CANCONTROL"
1100,Total LPG Used,4,Unsigned,0,4294967295,-,l,"""Total LPG used in liters""",LVCAN
1101,Total LPG Used Counted,4,Unsigned,0,4294967295,-,l,"""Total LPG used counted in liters""",LVCAN
1102,LPG Level Proc,2,Unsigned,0,65535,-,%,"""LPG level in proc""",LVCAN
1103,LPG Level Liters,2,Unsigned,0,65535,-,l,"""LPG level in liters""",LVCAN
898,SSF Ignition,1,Unsigned,0,1,-,-,"""0 - No 1 - Yes""","LVCAN, ALLCAN300, CANCONTROL"
652,SSF KeyInIgnitionLock,1,Unsigned,0,1,-,-,"""0 - No key in lock 1 - Key in lock""","ALLCAN300, CANCONTROL"
899,SSF Webasto,1,Unsigned,0,1,-,-,"""0 - No 1 - Yes""",ALLCAN300
900,SSF Engine Working,1,Unsigned,0,1,-,-,"""0 - No 1 - Yes""","ALLCAN300, CANCONTROL"
901,SSF Standalone Engine,1,Unsigned,0,1,-,-,"""0 - No 1 - Yes""",ALLCAN300
902,SSF Ready To Drive,1,Unsigned,0,1,-,-,"""0 - No 1 - Yes""","ALLCAN300, CANCONTROL"
903,SSF Engine Working On CNG,1,Unsigned,0,1,-,-,"""0 - No 1 - Yes""","ALLCAN300, CANCONTROL"
904,SSF Work Mode,1,Unsigned,0,1,-,-,"""0 - Private 1 - Company""",ALLCAN300
905,SSF Operator,1,Unsigned,0,1,-,-,"""0 - Not present 1 - Present""",ALLCAN300
906,SSF Interlock,1,Unsigned,0,1,-,-,"""0 - Off 1 - On""",ALLCAN300
907,SSF Engine Lock Active,1,Unsigned,0,1,-,-,"""0 - Inactive 1 - Active""",CANCONTROL
908,SSF Request To Lock Engine,1,Unsigned,0,1,-,-,"""0 - Off 1 - On""",CANCONTROL
653,SSF Handbrake Is Active,1,Unsigned,0,1,-,-,"""0 - Handbrake inactive 1 - Handbrake active""","ALLCAN300, CANCONTROL"
910,SSF Footbrake Is Active,1,Unsigned,0,1,-,-,"""0 - Footbrake inactive 1 - Footbrake active""","ALLCAN300, CANCONTROL"
911,SSF Clutch Pushed,1,Unsigned,0,1,-,-,"""0 - Clutch is pushed 1 - Clutch is not pushed""","ALLCAN300, CANCONTROL"
912,SSF Hazard Warning Lights,1,Unsigned,0,1,-,-,"""0 - Hazard warning lights on 1 - Hazard warning lights off""","ALLCAN300, CANCONTROL"
654,SSF Front Left Door Open,1,Unsigned,0,1,-,-,"""0 - Closed 1 - Open""","LVCAN, ALLCAN300, CANCONTROL"
655,SSF Front Right Door Open,1,Unsigned,0,1,-,-,"""0 - Closed 1 - Open""","LVCAN, ALLCAN300, CANCONTROL"
656,SSF Rear Left Door Open,1,Unsigned,0,1,-,-,"""0 - Closed 1 - Open""","LVCAN, ALLCAN300, CANCONTROL"
657,SSF Rear Right Door Open,1,Unsigned,0,1,-,-,"""0 - Closed 1 - Open""","LVCAN, ALLCAN300, CANCONTROL"
658,SSF Trunk Door Open,1,Unsigned,0,1,-,-,"""0 - Closed 1 - Open""","LVCAN, ALLCAN300, CANCONTROL"
913,SSF Engine Cover Open,1,Unsigned,0,1,-,-,"""0 - Closed 1 - Open""","LVCAN, ALLCAN300, CANCONTROL"
909,SSF Roof Open,1,Unsigned,0,1,-,-,"""0 - Closed 1 - Open""","LVCAN, ALLCAN300, CANCONTROL"
914,SSF Charging Wire Plugged,1,Unsigned,0,1,-,-,"""0 - Unplugged 1 - Plugged""","ALLCAN300, CANCONTROL"
915,SSF Batttery Charging,1,Unsigned,0,1,-,-,"""0 - Not charging 1 - Charging""","ALLCAN300, CANCONTROL"
916,SSF Electric Engine State,1,Unsigned,0,1,-,-,"""0 - Off 1 - On""","ALLCAN300, CANCONTROL"
917,SSF Car Closed Factory Remote,1,Unsigned,0,1,-,-,"""0 - Closed 1 - Open""","ALLCAN300, CANCONTROL"
662,SSF Car Is Closed,1,Unsigned,0,1,-,-,"""0 - Closed 1 - Open""","ALLCAN300, CANCONTROL"
918,SSF Factory Alarm Actuated,1,Unsigned,0,1,-,-,"""0 - Not actuated 1 - Actuated""","ALLCAN300, CANCONTROL"
919,SSF Factory Alarm Emulated,1,Unsigned,0,1,-,-,"""0 - Not emulated 1 - Emulated""","ALLCAN300, CANCONTROL"
920,SSF Signal Close Factory Remote,1,Unsigned,0,1,-,-,"""0 - Closed 1 - Open""","ALLCAN300, CANCONTROL"
921,SSF Signal Open Factory Remote,1,Unsigned,0,1,-,-,"""0 - Closed 1 - Open""","ALLCAN300, CANCONTROL"
922,SSF Rearming Signal,1,Unsigned,0,1,-,-,"""0 - Off 1 - On""","ALLCAN300, CANCONTROL"
923,SSF Trunk Door Opened Factory Remote,1,Unsigned,0,1,-,-,"""0 - Closed 1 - Open""","ALLCAN300, CANCONTROL"
924,SSF CAN Module In Sleep,1,Unsigned,0,1,-,-,"""0 - Not in sleep 1 - In sleep""","LVCAN, ALLCAN300, CANCONTROL"
925,SSF Factory Remote 3x,1,Unsigned,0,1,-,-,"""0 - No 1 - Yes""",ALLCAN300
926,SSF Factory Armed,1,Unsigned,0,1,-,-,"""0 - Not armed 1 - Armed""",CANCONTROL
660,SSF Parking Gear Active (automatic gear box),1,Unsigned,0,1,-,-,"""0 - Inactive 1 - Active""","ALLCAN300, CANCONTROL"
661,SSF Reverse Gear Active,1,Unsigned,0,1,-,-,"""0 - Inactive 1 - Active""","ALLCAN300, CANCONTROL"
659,SSF Neutral Gear Active (automatic gear box),1,Unsigned,0,1,-,-,"""0 - Inactive 1 - Active""","ALLCAN300, CANCONTROL"
927,SSF Drive Is Active (automatic gear box),1,Unsigned,0,1,-,-,"""0 - Inactive 1 - Active""","ALLCAN300, CANCONTROL"
1083,SSF Engine Working On Dual Fuel,1,Unsigned,0,1,-,-,"""0 - Not working 1 - Working""",ALLCAN300
1084,SSF Engine Working On LPG,1,Unsigned,0,1,-,-,"""0 - Not working 1 - Working""",ALLCAN300
928,CSF Parking Lights,1,Unsigned,0,1,-,-,"""0 - Off 1 - On""","ALLCAN300, CANCONTROL"
929,CSF Dipped Head lights,1,Unsigned,0,1,-,-,"""0 - Off 1 - On""","ALLCAN300, CANCONTROL"
930,CSF Full Beam Headlights,1,Unsigned,0,1,-,-,"""0 - Off 1 - On""","ALLCAN300, CANCONTROL"
931,CSF Rear Fog Lights,1,Unsigned,0,1,-,-,"""0 - Off 1 - On""","ALLCAN300, CANCONTROL"
932,CSF Front Fog Lights,1,Unsigned,0,1,-,-,"""0 - Off 1 - On""","ALLCAN300, CANCONTROL"
933,CSF Additional Front Lights,1,Unsigned,0,1,-,-,"""0 - Off 1 - On""",ALLCAN300
934,CSF Additional Rear Lights,1,Unsigned,0,1,-,-,"""0 - Off 1 - On""",ALLCAN300
935,CSF Light Signal,1,Unsigned,0,1,-,-,"""0 - Off 1 - On""",ALLCAN300
936,CSF Air Conditioning,1,Unsigned,0,1,-,-,"""0 - Off 1 - On""",ALLCAN300
937,CSF Cruise Control,1,Unsigned,0,1,-,-,"""0 - Off 1 - On""",ALLCAN300
938,CSF Automatic Retarder,1,Unsigned,0,1,-,-,"""0 - Off 1 - On""",ALLCAN300
939,CSF Manual Retarder,1,Unsigned,0,1,-,-,"""0 - Off 1 - On""",ALLCAN300
940,CSF Driver's Seatbelt Fastened,1,Unsigned,0,1,-,-,"""0 - Not fastened 1 - Fastened""",ALLCAN300
941,CSF Front Driver's Seatbelt Fastened,1,Unsigned,0,1,-,-,"""0 - Not fastened 1 - Fastened""",ALLCAN300
942,CSF Left Driver's Seatbelt Fastened,1,Unsigned,0,1,-,-,"""0 - Not fastened 1 - Fastened""",ALLCAN300
943,CSF Right Driver's Seatbelt Fastened,1,Unsigned,0,1,-,-,"""0 - Not fastened 1 - Fastened""",ALLCAN300
944,CSF Centre Driver's Seatbelt Fastened,1,Unsigned,0,1,-,-,"""0 - Not fastened 1 - Fastened""",ALLCAN300
945,CSF Front Passenger Present,1,Unsigned,0,1,-,-,"""0 - Not present 1 - Present""",ALLCAN300
946,CSF PTO,1,Unsigned,0,1,-,-,"""0 - Off 1 - On""",ALLCAN300
947,CSF Front Differential Locked,1,Unsigned,0,1,-,-,"""0 - Unlocked 1 - Locked""",ALLCAN300
948,CSF Rear Differential Locked,1,Unsigned,0,1,-,-,"""0 - Unlocked 1 - Locked""",ALLCAN300
949,CSF Central Differential 4HI Locked,1,Unsigned,0,1,-,-,"""0 - Unlocked 1 - Locked""",ALLCAN300
950,CSF Rear Differential 4LO Locked,1,Unsigned,0,1,-,-,"""0 - Unlocked 1 - Locked""",ALLCAN300
951,CSF Trailer Axle 1 Lift Active,1,Unsigned,0,1,-,-,"""0 - Inactive 1 - Active""",ALLCAN300
952,CSF Trailer Axle 2 Lift Active,1,Unsigned,0,1,-,-,"""0 - Inactive 1 - Active""",ALLCAN300
1085,CSF Trailer Connected,1,Unsigned,0,1,-,-,"""0 - Disconnected 1 - Connected""",ALLCAN300
1086,CSF Start Stop System Inactive,1,Unsigned,0,1,-,-,"""0 - No 1 - Yes""",ALLCAN300
953,ISF Check Engine Indicator,1,Unsigned,0,1,-,-,"""0 - Off 1 - On""",ALLCAN300
954,ISF ABS Indicator,1,Unsigned,0,1,-,-,"""0 - Off 1 - On""",ALLCAN300
955,ISF ESP Indicator,1,Unsigned,0,1,-,-,"""0 - Off 1 - On""",ALLCAN300
956,ISF ESP Turned Off,1,Unsigned,0,1,-,-,"""0 - No 1 - Yes""",ALLCAN300
957,ISF Stop Indicator,1,Unsigned,0,1,-,-,"""0 - Off 1 - On""",ALLCAN300
958,ISF Oil Level Indicator,1,Unsigned,0,1,-,-,"""0 - Off 1 - On""","ALLCAN300, CANCONTROL"
959,ISF Coolant liquid level,1,Unsigned,0,1,-,-,"""0 - Off 1 - On""",ALLCAN300
